,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
156,pisco,PE,2023-02-03 22:36:31,-13.7,-76.2167,40,94,70.12400000000002,2.57
157,north bend,US,2023-02-03 22:35:23,43.4065,-124.2243,100,87,52.43000000000004,2.57
158,beringovskiy,RU,2023-02-03 22:36:31,63.05,179.3167,100,96,-12.496000000000002,6.27
159,sobolevo,RU,2023-02-03 22:36:32,54.4299,31.8996,91,97,12.830000000000041,2.41
160,mar del plata,AR,2023-02-03 22:36:32,-38.0023,-57.5575,40,76,69.368,3.58
161,pevek,RU,2023-02-03 22:36:33,69.7008,170.3133,30,100,-29.883999999999993,1.23
162,oussouye,SN,2023-02-03 22:36:33,12.485,-16.5469,13,42,68.35999999999999,3.16
163,lugovoy,KZ,2023-02-03 22:36:33,42.9472,72.7644,99,97,37.417999999999985,1.65
164,hithadhoo,MV,2023-02-03 22:35:04,-0.6,73.0833,98,67,82.4,7.93
165,orumiyeh,IR,2023-02-03 22:36:34,37.5527,45.0761,0,53,17.41999999999996,2.06
166,pacasmayo,PE,2023-02-03 22:36:34,-7.4006,-79.5714,100,80,71.97799999999997,3.52
167,kruisfontein,ZA,2023-02-03 22:36:34,-34.0033,24.7314,5,87,70.15999999999998,3.22
168,viedma,AR,2023-02-03 22:36:35,-40.8135,-62.9967,0,74,68.61199999999997,4.33
169,mtinko,TZ,2023-02-03 22:36:35,-4.55,34.85,96,83,62.780000000000044,1.52
170,shubarshi,KZ,2023-02-03 22:36:35,48.5872,57.1869,95,83,12.577999999999964,5.17
171,hopewell,US,2023-02-03 22:36:36,37.3043,-77.2872,4,41,26.222000000000037,3.81
172,sangar,RU,2023-02-03 22:36:36,63.9242,127.4739,100,88,-10.840000000000025,2.06
173,bilibino,RU,2023-02-03 22:36:36,68.0546,166.4372,11,98,-22.88200000000002,3.04
174,kamenskoye,,,,,,,,
175,qasigiannguit,GL,2023-02-03 22:36:37,68.8193,-51.1922,100,98,9.122000000000035,5.75
176,denpasar,ID,2023-02-03 22:32:32,-8.65,115.2167,75,94,78.72799999999997,4.63
177,cabedelo,BR,2023-02-03 22:35:35,-6.9811,-34.8339,38,73,79.73599999999996,3.9
178,san quintin,MX,2023-02-03 22:36:37,30.4833,-115.95,44,71,57.50600000000003,3.1
179,katsuura,JP,2023-02-03 22:36:38,35.1333,140.3,94,80,48.48800000000004,0.86
180,cabo san lucas,MX,2023-02-03 22:35:15,22.8909,-109.9124,4,72,67.78399999999999,1.36
181,tuatapere,NZ,2023-02-03 22:35:23,-46.1333,167.6833,27,53,80.16799999999998,0.89
182,port lincoln,AU,2023-02-03 22:36:15,-34.7333,135.8667,98,58,66.88399999999999,5.3
183,starovelichkovskaya,RU,2023-02-03 22:36:38,45.4288,38.7326,42,93,34.98800000000004,2.89
184,benito juarez,MX,2023-02-03 22:36:39,19.385,-99.165,0,64,57.109999999999985,4.47
185,ahipara,NZ,2023-02-03 22:35:08,-35.1667,173.1667,100,83,70.79000000000002,3.46
186,nuuk,GL,2023-02-03 22:36:39,64.1835,-51.7216,100,78,12.05600000000003,2.97
187,soyo,AO,2023-02-03 22:36:39,-6.1349,12.3689,97,86,80.38399999999999,3.85
188,vanavara,RU,2023-02-03 22:36:40,60.34,102.2797,100,96,1.832000000000015,1.8
